"","sample_rate","sum_N_hat","sum_N_upper","sum_N_lower","sum_N_upper2","sum_N_lower2"
"1",0.025,974030324.668765,1566407887.30937,596122657.372041,2516107889.95056,314609192.296814
"2",0.05,809337898.120094,1026720833.68668,596495557.456252,1617083337.10276,360814789.81169
"3",0.075,796449119.283652,998961899.118731,597698351.281309,1557803955.32712,363886326.703488
"4",0.1,786301258.735415,981942704.648263,650179509.589355,1473331519.59014,385812435.715542
"5",0.125,777251412.473636,888217695.486871,681111578.323187,1438258488.46055,382374779.588171
"6",0.15,771971940.192367,871763210.106008,655656988.023841,1392482177.26963,393025658.546962
"7",0.175,766129374.455312,869922095.242105,667870796.573378,1319408356.03642,414890761.226318
"8",0.2,777767263.216351,858890354.020339,703479434.78758,1279504021.80104,445598494.238898
"9",0.225,763738268.323284,838211586.405382,692291788.546251,1259859506.2412,439405900.617401
"10",0.25,750933766.276842,818965044.453528,700491029.84807,1192394843.80131,449004661.044037
"11",0.275,774584509.275213,835775614.895223,707328818.828957,1275909814.81784,447045794.934174
"12",0.3,753308421.351123,810864877.219979,676448091.870278,1183573924.88104,458992245.629042
"13",0.325,752896173.058485,812369987.949056,687658337.147564,1137222761.555,480772172.068938
"14",0.35,760404552.073709,833206096.470149,706696172.185779,1139135650.61085,489322495.620428
"15",0.375,755728327.020384,816193430.00625,688422576.517065,1141788078.03315,483469719.743572
"16",0.4,744313964.436158,800369047.869551,681725572.757431,1088186753.45757,495435499.690648
"17",0.425,741540614.759751,782013083.334746,689195809.684544,1053115716.9611,505442874.130342
"18",0.45,740040100.352471,803344851.46153,684831767.172275,1057009690.03578,503857915.294808
"19",0.475,740811509.743174,782778004.080358,694418160.944878,1038586877.11799,513489259.935366
"20",0.5,740634930.728928,783663381.537287,704586432.909173,1039139486.16935,514675256.250298
