"","num_town_samp","b_sum_N_hat","b_sum_N_upper","b_sum_N_lower","b_sum_N_upper2","b_sum_N_lower2"
"1",3,813776278.99821,1550493575.26042,384954731.633732,1240967211.3679,501082703.121384
"2",4,792632237.27408,1532411171.40337,367624085.795361,1042505674.12326,541117242.246049
"3",5,789670904.913035,1478461533.24728,383444337.161209,1070341186.98745,479671630.671817
"4",6,732131394.421196,1409979436.2215,343681569.044924,998277454.005473,535500891.735905
"5",7,774380780.065945,1518329234.57515,352208712.79844,928796569.017928,553474605.994622
"6",8,778014274.079717,1491013150.64395,365238847.941917,992116137.706789,558430331.738874
"7",9,784259789.172051,1440644354.00563,389926773.947322,950011354.94836,572918909.801758
"8",10,779528898.442233,1502827173.75109,367260503.418068,964087697.515009,605028498.556369
"9",11,765432199.630358,1418165984.33466,376368439.894991,960463931.170249,602835388.647621
"10",12,762934796.932706,1473711618.10015,357982944.657365,938125772.311132,592684683.170111
"11",13,784907689.208382,1530976965.6163,362328300.047061,987008635.343085,646418722.81905
"12",14,791312474.459998,1508103029.98235,375571075.250651,939009374.342434,650001299.589948
"13",15,781369476.507286,1502327296.92699,366638206.21144,932658907.113998,619767911.943481
"14",16,793827140.712078,1519130412.75964,374747878.900913,944845144.152937,642273379.969671
"15",17,790008164.017187,1513042142.02729,375870980.139546,953515470.264709,628334885.115479
