"","num_town_samp","b_sum_N_hat","b_sum_N_upper","b_sum_N_lower"
"1",5,798365600.632847,1028998629.89265,558493146.499227
"2",6,796523928.426287,1024522837.44384,618777914.921494
"3",7,802271712.74369,991768634.83655,610327056.357382
"4",8,799990321.375357,1000640167.81452,644600511.369669
"5",9,798763353.485967,974538678.162418,643749581.962311
"6",10,805838828.160695,969989062.599271,655797969.341343
"7",11,814116224.282076,982287470.074029,667515716.943444
"8",12,809641299.385481,957047115.327887,661017035.243971
"9",13,814723324.799031,960868772.602067,703768334.959173
"10",14,817560592.355157,960088246.00105,706635418.328995
"11",15,816241278.743671,930513382.491133,693541429.07214
"12",16,826658032.146658,968570020.327492,712103085.890523
"13",17,823588685.714913,984733125.678279,714920723.320535
