"","sh1","sh2"
"1",688313979.85458,893449347.55477
"2",920225172.203741,937625512.066741
"3",911244525.686272,984678100.846373
"4",711197489.151751,734935575.422364
"5",728881427.656993,852634544.071434
"6",704556169.452212,844793513.354443
"7",667695092.066107,817645805.951642
"8",725289413.531778,825875222.739395
"9",885181682.64422,962905050.688232
"10",784840412.48896,906095201.318934
"11",648299009.937576,858788094.553468
"12",768674380.536951,836349679.220835
"13",911770269.917941,998874593.378668
"14",841734252.80471,840962373.32375
"15",676975402.65805,741266474.998882
"16",680801384.286443,726626293.336397
"17",698436603.018651,812870606.175553
"18",630222883.466821,808246568.022678
"19",767913574.17152,749704580.165735
"20",637596145.377882,848887079.816917
"21",830131783.205649,851906608.989512
"22",923324645.506341,930591703.107683
"23",762153857.683169,806947790.188357
"24",798083310.280873,845547369.923598
"25",656055550.217634,818533415.262898
"26",692316124.309682,1048667494.33335
"27",634553780.541762,706944402.017465
"28",772226054.320242,784152954.535715
"29",755724280.799036,784105878.420418
"30",842421084.152197,896545024.342779
"31",1049000026.70427,1068062007.92582
"32",693360147.972011,846181801.080877
"33",830889694.042154,862935005.834558
"34",951885975.991566,906422563.808174
"35",629969236.663069,692642249.434741
"36",823577093.807369,816333229.043625
"37",826680919.404895,872878904.867966
"38",600421909.43346,685544897.872456
"39",797211631.0958,868597069.667931
"40",639000533.413459,795645273.891185
"41",521743280.387613,777719553.052792
"42",703831043.927037,788414964.944252
"43",766525122.711671,868704307.235657
"44",791680666.368475,847410593.556537
"45",820506091.90066,956360771.523348
"46",603048316.415046,731623099.727919
"47",595613028.533339,686887509.192103
"48",794545506.221699,949076127.318254
"49",872045910.378429,947473143.633778
"50",642956534.740872,857489346.462129
